iter	Logloss
0	0.6881308207
1	0.6835091444
2	0.6786237267
3	0.6736524628
4	0.6687588575
5	0.663821957
6	0.6593085808
7	0.6550533636
8	0.6509550761
9	0.6467549394
10	0.6430858829
11	0.6387676456
12	0.6348229385
13	0.6308825113
14	0.6272673568
15	0.6237082132
16	0.6201042858
17	0.6166036342
18	0.6124812801
19	0.6085375654
20	0.6049897109
21	0.6014460122
22	0.5978445658
23	0.5940971685
24	0.5906968156
25	0.5876803514
26	0.5844370524
27	0.5817493966
28	0.5783392433
29	0.575812177
30	0.5730247187
31	0.5703752099
32	0.5676083448
33	0.5652741223
34	0.5627819775
35	0.5600017765
36	0.5575413898
37	0.5550832361
38	0.5527796551
39	0.5506426803
40	0.5481006653
41	0.5457934248
42	0.5435219121
43	0.5415323769
44	0.5390914669
45	0.5370564034
46	0.5349011925
47	0.5332000856
48	0.5312191103
49	0.5291360995
50	0.5268093202
51	0.5248181103
52	0.523053177
53	0.5209895188
54	0.5189589834
55	0.5170281883
56	0.5148218977
57	0.5130891257
58	0.5112643358
59	0.5094029806
60	0.5075974503
61	0.5054079381
62	0.5040220555
63	0.5024290628
64	0.500923653
65	0.499907951
66	0.4985146561
67	0.4968769105
68	0.4956452284
69	0.4941671728
70	0.4929824457
71	0.4914359736
72	0.4901389766
73	0.488494656
74	0.4870189264
75	0.4858017898
76	0.484435663
77	0.4832338163
78	0.4815468517
79	0.4800702847
80	0.4785475382
81	0.4771754567
82	0.4758029411
83	0.4743382834
84	0.4735165108
85	0.4729857406
86	0.471939366
87	0.4712866186
88	0.4699629497
89	0.4692634024
90	0.4681183109
91	0.4672529019
92	0.4662198323
93	0.4653819945
94	0.4640264744
95	0.4628461202
96	0.4616625096
97	0.4611560542
98	0.4601310482
99	0.459002394
100	0.4579377213
101	0.456972758
102	0.4559706401
103	0.4548876382
104	0.4537815001
105	0.4527702021
106	0.4513699291
107	0.4502696836
108	0.4490852666
109	0.4481816486
110	0.4468627868
111	0.4460571413
112	0.445323789
113	0.4446736778
114	0.444091983
115	0.4436207593
116	0.4428173779
117	0.4422921282
118	0.4418979738
119	0.4411543869
120	0.4400717262
121	0.439583507
122	0.4388675845
123	0.4383169035
124	0.4374060902
125	0.4369213445
126	0.4361081007
127	0.4354156866
128	0.4343953637
129	0.4335817787
130	0.4332238174
131	0.432548585
132	0.4317627884
133	0.4309713162
134	0.4303071557
135	0.4296144005
136	0.4291460611
137	0.4283669945
138	0.427790572
139	0.4273292728
140	0.4265359398
141	0.4260498295
142	0.4254691271
143	0.4247674709
144	0.4242711261
145	0.4236341957
146	0.4230270386
147	0.4225472861
148	0.4221160392
149	0.4216090877
150	0.420901725
151	0.4198262595
152	0.4193350939
153	0.41883633
154	0.4185875063
155	0.4178269549
156	0.4174880981
157	0.4170528505
158	0.4161143729
159	0.4155383847
160	0.4149516036
161	0.4144128939
162	0.4142043261
163	0.413576917
164	0.4127951211
165	0.4123092279
166	0.4117934064
167	0.4111215855
168	0.4105253142
169	0.41003266
170	0.409565251
171	0.4087398188
172	0.4082218263
173	0.4080372942
174	0.4077072764
175	0.4072044497
176	0.4068690975
177	0.4064912253
178	0.4060887903
179	0.4057087472
180	0.4051901344
181	0.4043447293
182	0.4039016972
183	0.4033660889
184	0.4030139582
185	0.4025711122
186	0.4022205322
187	0.4014566933
188	0.4009685051
189	0.4007174174
190	0.4004068452
191	0.399961332
192	0.3993458321
193	0.3985909873
194	0.3981537858
195	0.3976159445
196	0.3972806233
197	0.3969572734
198	0.3966458949
199	0.3960627114
